image_id,type,ssim,psnr,mae,rmse,fid
synthetic_000,synthetic,0.7206012385167102,15.492346344980362,0.1046140021652024,0.168028396414783,254.05536191592387
synthetic_001,synthetic,0.5607256852178741,13.946083086652992,0.1297499135679191,0.2007686254442159,254.05536191592387
synthetic_002,synthetic,0.5926880301615514,13.81557675562542,0.1298779489089381,0.2038079694799915,254.05536191592387
synthetic_003,synthetic,0.4939889938067682,14.216357868202913,0.1385719406093554,0.1946175972903286,254.05536191592387
synthetic_004,synthetic,0.6206099362544524,14.306490014009787,0.1227935017324371,0.1926085222648714,254.05536191592387
synthetic_005,synthetic,0.7026914724240771,14.857582374585682,0.1153535490652834,0.1807677203603581,254.05536191592387
synthetic_006,synthetic,0.5869646937712528,14.018300528558647,0.135989875895297,0.1991062869788948,254.05536191592387
synthetic_007,synthetic,0.4277112466822779,13.058437754436058,0.1565725752667207,0.222370981125718,254.05536191592387
synthetic_008,synthetic,0.6717737095020009,15.86088574883818,0.1054488083429257,0.1610481396812868,254.05536191592387
synthetic_009,synthetic,0.6329682821741153,14.80411034069739,0.1167560111268284,0.1818839942446565,254.05536191592387
synthetic_010,synthetic,0.535870252008035,14.574543360966896,0.1312461762188221,0.1867552553777224,254.05536191592387
synthetic_011,synthetic,0.4851289452393158,12.914782980323924,0.1508841299354238,0.2260793266098434,254.05536191592387
synthetic_012,synthetic,0.584370808212803,13.148226008370663,0.1418409643814187,0.2200841159625793,254.05536191592387
synthetic_013,synthetic,0.4343009812717081,13.04930383679508,0.1550257118857652,0.2226049452479055,254.05536191592387
synthetic_014,synthetic,0.5214371545127509,12.853727515423785,0.1562963273988401,0.2276740977476273,254.05536191592387
real_000,real,0.4021085349071103,13.325227932268746,0.1602414596871368,0.2156446079327467,
real_001,real,0.2840518055949897,12.145159664056056,0.1820321526287771,0.2470256306718342,
real_002,real,0.2818785564959077,12.3028786625593,0.1834665429794295,0.2425806005133827,
real_003,real,0.4462725985282754,13.53643998003744,0.155034620417861,0.2104640876035418,
real_004,real,0.5068517524178149,13.944150761218596,0.1446567492002566,0.2008132948441105,
real_005,real,0.2046591386162226,11.234857475900007,0.2066696770961711,0.2743197814823595,
real_006,real,0.2455399959397764,11.437419066242532,0.2026423111458336,0.2679964533509638,
real_007,real,0.0907114547778948,10.445149471298516,0.2335478901208637,0.3004294663730636,
real_008,real,0.0793988939101277,10.344211285068392,0.2337152814270548,0.3039411033578796,
real_009,real,0.4661482832923312,13.543592797061583,0.1541306699766423,0.2102908420881473,
real_010,real,0.3331494301600517,12.697359731876432,0.1720796342017938,0.2318099180105205,
real_011,real,0.3829885719032166,12.419839219752632,0.1750544601007203,0.2393360058044825,
real_012,real,0.2368463362405575,11.375191335760835,0.1991520378959063,0.2699233362559682,
real_013,real,0.2853015373668578,11.685128738218026,0.1951763443127437,0.2604615154165861,
real_014,real,0.2211438246309529,11.874873878070291,0.1912696396359805,0.2548333750058664,
